adult,gender,id,known_for_department,name,original_name,popularity,profile_path,cast_id,character,credit_id,order
False,2,4517,Acting,Joe Pesci,Joe Pesci,27.404,/4AO0Rwdg2ky8Usmgzgj0dvhy7Zw.jpg,18,Tommy DeVito,52fe4274c3a36847f801fd23,2
False,1,11478,Acting,Lorraine Bracco,Lorraine Bracco,20.842,/1lQiN8yggIJ8aGYLp4Nul3ALdXC.jpg,19,Karen Hill,52fe4274c3a36847f801fd27,3
False,2,7004,Acting,Paul Sorvino,Paul Sorvino,4.921,/4gDEo0wty5ixtrpV0U17PlHoFik.jpg,33,Paul Cicero,52fe4274c3a36847f801fd5f,4
False,2,11480,Acting,Frank Sivero,Frank Sivero,8.565,/eqvhj0iNtcsN6EJhd21Goqi1DSq.jpg,21,Frankie Carbone,52fe4274c3a36847f801fd2f,5
False,2,11482,Acting,Tony Darrow,Tony Darrow,3.401,/kc6cGKm2yYx5ekHo4zGizhMLBge.jpg,23,Sonny Bunz,52fe4274c3a36847f801fd37,6
False,2,1281304,Acting,Aaron LaPlante,Aaron LaPlante,2.768,/9o42oeMwvAfoJq2E5H83hdvTrxj.jpg,5,Spear / Big Gorilla / Monkey #3 (voice),6441a374bf31f202fba8cf20,0
False,2,1836598,Acting,Jon Olson,Jon Olson,1.303,/crkYY5wcjoDn04BFlkF5WiR3d1A.jpg,4,Krog / Shaman (voice),62ef63659369a2007afb731f,1
False,2,1218986,Writing,Bryan Andrews,Bryan Andrews,2.001,,1,,5ebd960815a4a1001c9c7e4d,2
False,2,60300,Writing,Darrick Bachman,Darrick Bachman,2.346,,2,,5ebd960c6d675a001f7a365f,3
False,2,3024068,Acting,Jude Coward Nicoll,Jude Coward Nicoll,5.096,/eifbyTAxneBQhrZ594gwTizrYBE.jpg,11,The Boy (voice),634480b6b7a154007cc72050,0
False,2,2441,Acting,Tom Hollander,Tom Hollander,13.864,/cqZiJsImFZ6TaeShRRg49AZ9TyT.jpg,8,The Mole (voice),6344805725b95500822b3d73,1
False,2,17605,Acting,Idris Elba,Idris Elba,23.032,/be1bVF7qGX91a6c5WeRPs5pKXln.jpg,9,The Fox (voice),63448077d34eb3009036703c,2
False,2,5168,Acting,Gabriel Byrne,Gabriel Byrne,14.53,/9r9oDGENg92VYYFMkV4C09IUlrb.jpg,10,The Horse (voice),6344809f9bcd0f007af9cafa,3
False,1,1312450,Acting,Melanie Zanetti,Melanie Zanetti,29.439,/lbUQ7ilvBtWMU23reKsHg3jRmsf.jpg,2,Julianne Mitchell,5ea1c702713ed4002450fa16,0
False,2,544002,Acting,Giulio Berruti,Giulio Berruti,18.324,/cCOWVvjQ1TblPvM7TgMBqMczkOX.jpg,3,Gabriel Emerson,5ea1c724bdc34c002023c899,1
False,2,73659,Acting,Kurt McKinney,Kurt McKinney,3.962,/ebkMXPJXAGsPpfzysNmht6NVtR6.jpg,4,Tom Mitchell,5ea1c74aec455200273d19dc,2
False,1,1188681,Acting,Agnes Albright,Agnes Albright,3.95,/39laAb3lRSVQv4NtXzIwuowuFry.jpg,5,,5ea1c77cec455200213d1a14,3
False,1,2595115,Acting,Margaux Brooke,Margaux Brooke,2.772,/leLl5l6KnjMdg5O48FhDfB7GquI.jpg,6,,5ea1c78fec455200213d1a22,4
False,2,1326237,Acting,Ned Van Zandt,Ned Van Zandt,1.541,/lJK2Bk79xhP133piZ03p4d6rsD0.jpg,7,,5ea1c7a7bdc34c002623c860,5
False,2,7450,Acting,Toshirō Mifune,Toshirō Mifune,9.49,/2GU6d2jm2J644FmYxxl4sbq52Bl.jpg,147,Kikuchiyo,5e93b84654508d001517809e,0
False,2,7453,Acting,Takashi Shimura,Takashi Shimura,6.334,/ydyAm2vyBbEPZRICIMqqjDm0NM9.jpg,148,Kambei Shimada,5e93b8737a97ab00140dea37,1
False,2,20828,Acting,Yoshio Inaba,Yoshio Inaba,3.105,/5qIAqM5PegWTNq67qNofz78fb6U.jpg,149,Gorobei Katayama,5e93b8ae54508d00131770de,2
False,2,20829,Acting,Seiji Miyaguchi,Seiji Miyaguchi,5.142,/97XiJh1TSdu4hmJUp4Am5afgBZx.jpg,150,Kyuzo,5e93b92c8e87020016ccf565,3
False,2,7454,Acting,Minoru Chiaki,Minoru Chiaki,4.95,/4uqny8n2OmGixVVdzqUBA5zJ9aW.jpg,151,Heihachi Hayashida,5e93b96d54508d001517876a,4
False,2,7457,Acting,Daisuke Katō,Daisuke Katō,3.143,/lYFNVZIGpegdHiBew2cXuer0vxV.jpg,152,Shichiroji,5e93b9a72cde980014c4bcb9,5
False,2,20830,Acting,Isao Kimura,Isao Kimura,3.978,/afLPuf3x7UYXryAbqAGqmRcVNNW.jpg,153,Katsushiro Okamoto,5e93b9d1ca4f6772c3806f40,6
False,2,24366,Acting,Philippe Noiret,Philippe Noiret,5.4,/13vb0RuOI0t8I1y04pnz81vLptl.jpg,8,Alfredo,52fe44129251416c75027f25,0
False,2,20030,Acting,Jacques Perrin,Jacques Perrin,4.567,/IbMtXB1Sy6JaLsSKrJiplZqKTO.jpg,9,Salvatore 'Totò' Di Vita (adult),52fe44129251416c75027f29,1
False,2,27643,Acting,Marco Leonardi,Marco Leonardi,6.713,/5VVhO9rPvRgKsZME2gZKtG9WgWD.jpg,10,Salvatore 'Totò' Di Vita (teen),52fe44129251416c75027f2d,2
False,2,68635,Acting,Salvatore Cascio,Salvatore Cascio,3.956,/6bg9xuVF0sOyZu0cCaDKSjOleOW.jpg,11,Salvatore 'Totò' Di Vita (child),52fe44129251416c75027f31,3
False,1,120152,Acting,Agnese Nano,Agnese Nano,6.036,/g09lg3HnXUJrbiUAP1cbhwJBxQy.jpg,12,Elena Mendola (teen) / Elena's daughter (in Director's cut),52fe44129251416c75027f35,4
False,1,70083,Acting,Antonella Attili,Antonella Attili,6.238,/7LkcUazq3D0F3oS7lVCRf10thMg.jpg,13,Maria Di Vita (young),52fe44129251416c75027f39,5
False,2,52657,Acting,Enzo Cannavale,Enzo Cannavale,6.486,/qKTBcs4UEwBhZIeYBpVcDjZVJKg.jpg,14,Spaccafico,52fe44129251416c75027f3d,6
False,2,4818,Acting,Roberto Benigni,Roberto Benigni,10.408,/noelOhwX1oaNSvU9NLKhPrHTFI3.jpg,8,Guido Orefice,52fe4262c3a36847f801a125,0
False,1,9235,Acting,Nicoletta Braschi,Nicoletta Braschi,6.286,/i1BYJhg2V6PZEkCaMyYNLRqutmM.jpg,7,Dora,52fe4262c3a36847f801a121,1
