id,title,cast
400928,Gifted,"[16828, 1172108, 30083, 213001, 6944, 2683, 55256]"
785534,Paper Lives,"[1252061, 2934254, 1948899, 143249, 1514727, 2056381]"
310569,The Second Mother,"[228012, 1342895, 1115320, 232517, 1065193, 1052174, 1282657]"
800,The Young and the Damned,"[11972, 11973, 11979, 11974, 11975, 11981, 11976]"
785084,The Whale,"[18269, 1590797, 1360317, 17181, 2206, 1377031, 2433620]"
821,Judgment at Nuremberg,"[12147, 13784, 12149, 2896, 12150, 9066, 12151]"
282848,Doctor Who: The Time of the Doctor,"[136532, 1080542, 12982, 543261, 107734, 2959, 1193572]"
115929,Cool Kids Don't Cry,"[225046, 225048, 230962, 1064502, 1064503, 228589, 228327]"
522518,A Dog's Journey,"[19838, 92572, 1530941, 220236, 6065, 54415, 1360010]"
574074,Kitbull,[]
339877,Loving Vincent,"[230680, 73357, 1702761, 15737, 36592, 40477, 26860]"
20530,Late Spring,"[33135, 95504, 131012, 131013, 131014, 123382, 131016]"
582,The Lives of Others,"[678, 8196, 8197, 8198, 8199, 8200, 8201]"
279,Amadeus,"[1164, 3999, 4000, 4002, 4001, 4003, 4004]"
1091,The Thing,"[6856, 65827, 11065, 15411, 15412, 15413, 15414]"
1396,Mirror,"[55512, 55514, 8471, 55513, 8475, 1190992, 8480]"
106646,The Wolf of Wall Street,"[6193, 21007, 234352, 10297, 3497, 3026, 15277]"
264644,Room,"[60073, 1277188, 11148, 3905, 144160, 64712, 1232769]"
9764,Dersu Uzala,"[1090508, 58989, 58995, 58997, 58994, 47434, 58991]"
455661,In a Heartbeat,"[1641138, 1183609]"
19426,Nights of Cabiria,"[5402, 27440, 543085, 31989, 5404, 125357, 128674]"
19542,The Red Shoes,"[68422, 88935, 38037, 88937, 81463, 29137, 56875]"
962,The Gold Rush,"[13848, 14434, 14435, 14437, 14438, 14439, 1269183]"
641,Requiem for a Dream,"[9560, 7499, 6161, 9562, 4443, 65827, 9565]"
429210,Bingo: The King of the Mornings,"[213619, 278354, 127110, 139301, 571469, 1977323, 979018]"
938,For a Few Dollars More,"[190, 4078, 14276, 5814, 14277, 14279, 14280]"
14,American Beauty,"[1979, 516, 2155, 8210, 8211, 2955, 19]"
37793,Ghosts,"[82702, 134710, 134711, 6214, 4239, 134712, 134713]"
28978,The Circus,"[13848, 13855, 147962, 147963, 120701, 14438, 30194]"
714888,"Argentina, 1985","[69310, 1246181, 239252, 3118549, 141571, 1506342, 1107942]"
204,The Wages of Fear,"[2565, 2566, 2567, 2568, 2569, 2570, 2572]"
521,Dial M for Murder,"[7124, 4070, 7125, 5182, 7682, 1217924, 73980]"
673,Harry Potter and the Prisoner of Azkaban,"[10980, 10989, 10990, 1923, 5658, 10983, 64]"
12761,Autumn Sonata,"[4111, 11916, 3854, 73595, 73596, 13511, 6649]"
9277,The Sting,"[3636, 4135, 8606, 1466, 4093, 39015, 14833]"
15,Citizen Kane,"[40, 7664, 11029, 14518, 11028, 11025, 11033]"
568160,Weathering with You,"[2194388, 2109360, 1255487, 2352340, 85939, 149894, 533325]"
307,"Rome, Open City","[4420, 4421, 4422, 4425, 4424, 4426, 4423]"
524,Casino,"[380, 4430, 4517, 7167, 7166, 4512, 7169]"
458220,Palmer,"[12111, 2897867, 36594, 1519512, 35515, 68763, 203734]"
11104,Chungking Express,"[43661, 56830, 1337, 12671, 119875, 119876, 119877]"
378108,In This Corner of the World,"[1405924, 1241498, 550606, 1164931, 1874660, 1684760, 1247917]"
110416,Song of the Sea,"[1326568, 1442866, 2039, 58068, 83278, 37169, 1326574]"
285700,The Fool,"[1407272, 125865, 143667, 125859, 549582, 235712, 1407266]"
51482,Death Note Relight 1: Visions of a God,"[9708, 144650, 9720, 1037692, 225655, 82508, 87585]"
554596,No Manches Frida 2,"[1134885, 55392, 2008873, 1303064, 1672139, 2283819, 2065650]"
3175,Barry Lyndon,"[31070, 31071, 2264, 37777, 22703, 31720, 31718]"
359724,Ford v Ferrari,"[3894, 1892, 19498, 147056, 6164, 1590759, 72638]"
961,The General,"[8635, 14417, 14419, 14420, 14421, 14422, 10530]"
595,To Kill a Mockingbird,"[8487, 8488, 8489, 8490, 6838, 2112, 8492]"
652722,In the Arms of an Assassin,"[972671, 1155085, 61059, 224730, 2472701, 1012743, 1022049]"
315465,The Boy and the Beast,"[18056, 104522, 1018944, 1454976, 123739, 40450, 552339]"
205596,The Imitation Game,"[71580, 116, 1247, 139549, 85718, 213394, 4391]"
140420,Paperman,"[8020, 116315, 1112515, 1381547]"
11778,The Deer Hunter,"[380, 4690, 3096, 47879, 5064, 10477, 80135]"
28178,Hachi: A Dog's Tale,"[1205, 11148, 20376, 11398, 18917, 557932, 75620]"
634649,Spider-Man: No Way Home,"[1136406, 505710, 71580, 1649152, 15277, 134, 5293]"
424694,Bohemian Rhapsody,"[17838, 1220123, 1452045, 4787, 86232, 49735, 85718]"
488623,Forgotten,"[1257899, 84788, 240948, 1267859, 1453249, 1200395, 2402498]"
23282,One Week,"[8635, 89929, 10525]"
